,Address,Locality,Beds,Area,Full Bath,Half Bath,Price,Lot Size
0,0 Gateway,"Rock Springs, WY 82901",,,,,"$725,000",
1,1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,4,,"$452,900",0.21 Acres
2,600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,,"$396,900",
3,3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,1,"$389,900","Under 1/2 Acre, "
4,522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,,"$254,000","Under 1/2 Acre, "
5,1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,,"$252,900",0.27 Acres
6,1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,,"$210,000","Under 1/2 Acre, "
7,913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,,"$209,000","Under 1/2 Acre, "
8,1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,,"$199,900","Under 1/2 Acre, "
9,4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,,"$196,900",2.02 Acres
10,9339 Sd 26900,"Rocksprings, TX 78880",,"2,560",,,"$1,700,000",
11,RR674P13 Hwy 377,"Rocksprings, TX 78880",,"2,000",,,"$1,100,000",
12,0 Hwy 41,"Rocksprings, TX 78880",,,,,"$1,080,000",
13,9339 Sd 26900,"Rocksprings, TX 78880",,"2,560",,,"$908,350",
14,CR450 Hwy 377,"Rocksprings, TX 78880",,,,,"$905,000",
15,Cr 240 Cr 240,"Rocksprings, TX 78880",,"1,398",,,"$695,000",
16,RR674 Hwy 377,"Rocksprings, TX 78880",,"1,738",,,"$605,000",
17,9770a Sd 26900,"Rocksprings, TX 78880",,"1,080",,,"$559,805",
18,Lot17 CR 2630,"Rocksprings, TX 78880",,,,,"$504,000",
19,"Tr12,16 CR 520","Rocksprings, TX 78880",,,,,"$410,000",
20,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3,"2,318",2,,"$299,900",
21,32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3,"2,120",2,,"$167,500",
22,0000 Black Canyon Highway,"Black Canyon City, AZ 85324",,,,,"$150,000",5 Acres
23,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3,"1,220",2,,"$129,500",
24,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4,"2,000",2,,"$129,000",
25,34263 S Bertha Street,"Black Canyon City, AZ 85324",5,"2,260",2,,"$80,000",
26,33160 S Canyon Road,"Black Canyon City, AZ 85324",3,"1,248",2,,"$77,900",
27,19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3,"1,404",2,,"$70,500",
28,18688 E AGUA Vista,"Black Canyon City, AZ 85324",,,,,"$70,000",0.7 Acres
29,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",,,,,"$67,500",3 Acres
30,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",,,,,"$54,900",
31,33259 S Canyon Road,"Black Canyon City, AZ 85324",3,"1,056",1,,"$45,600",
32,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2,784,1,,"$40,000",Under 1/2 Acre
33,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",,,,,"$30,000",2.35 Acres
34,19000 E MAREN Avenue,"Black Canyon City, AZ 85324",,,,,"$29,000",2.05 Acres
35,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",,,,,"$28,995",0.73 Acres
36,20650 E Amethyst Place,"Black Canyon City, AZ 85324",,,,,"$15,000",0.31 Acres
